Timestamp,Hari,Fase,Suhu_C,Kelembapan_pct,pH,CO2_ppm,Status_Kipas,Status_Pengaduk,Kematangan_pct,Sisa_Hari
1/1/2024 0:00,1,Mesofilik,28.1,85.5,4.82,596,1,0,0.4,20
1/1/2024 0:05,1,Mesofilik,27.9,86,4.82,438,1,0,0.7,20
1/1/2024 0:10,1,Mesofilik,27.8,85.4,4.81,323,1,0,0,20
1/1/2024 0:15,1,Mesofilik,27.7,85.2,4.81,404,1,0,0.1,20
1/1/2024 0:20,1,Mesofilik,28,85.5,4.81,364,1,0,0.4,20
1/1/2024 0:25,1,Mesofilik,27.7,85.2,4.82,431,1,0,0.4,20
1/1/2024 0:30,1,Mesofilik,27.6,86.1,4.8,395,1,0,0.8,20
1/1/2024 0:35,1,Mesofilik,27.4,85.7,4.75,374,1,0,0.6,20
1/1/2024 0:40,1,Mesofilik,27.7,85.7,4.8,457,1,0,0.1,20
1/1/2024 0:45,1,Mesofilik,27.4,85.5,4.84,510,1,0,0,20
1/1/2024 0:50,1,Mesofilik,27.5,85.5,4.79,532,1,0,0.9,20
1/1/2024 0:55,1,Mesofilik,27.6,85.4,4.8,511,1,0,0.9,20
1/1/2024 1:00,1,Mesofilik,27.3,85.6,4.78,389,1,0,0.8,20
1/1/2024 1:05,1,Mesofilik,27.5,85.6,4.84,515,1,0,0.4,20
1/1/2024 1:10,1,Mesofilik,27.3,86.1,4.81,612,1,0,0,20
1/1/2024 1:15,1,Mesofilik,27.4,85.7,4.8,495,1,0,0,20
1/1/2024 1:20,1,Mesofilik,27.2,85.8,4.86,448,1,0,0.4,20
1/1/2024 1:25,1,Mesofilik,27.1,86,4.82,448,1,0,0.8,20
1/1/2024 1:30,1,Mesofilik,27.2,86,4.79,465,1,0,0.5,20
1/1/2024 1:35,1,Mesofilik,26.9,85.8,4.82,493,1,0,0.5,20
1/1/2024 1:40,1,Mesofilik,26.9,85.6,4.81,429,1,0,0.6,20
1/1/2024 1:45,1,Mesofilik,27.1,86.3,4.82,515,1,0,0.6,20
1/1/2024 1:50,1,Mesofilik,26.7,85.7,4.82,693,1,0,0.6,20
1/1/2024 1:55,1,Mesofilik,27,85.7,4.78,588,1,0,0.9,20
1/1/2024 2:00,1,Mesofilik,27.1,85.5,4.86,386,1,0,0.8,20
1/1/2024 2:05,1,Mesofilik,27.3,85.4,4.8,507,1,0,0.5,20
1/1/2024 2:10,1,Mesofilik,26.8,85.8,4.79,538,1,0,0.4,20
1/1/2024 2:15,1,Mesofilik,27.1,85.5,4.81,567,1,0,0.3,20
1/1/2024 2:20,1,Mesofilik,26.9,86.2,4.78,518,1,0,0.7,20
1/1/2024 2:25,1,Mesofilik,27,85.4,4.79,546,1,0,0.8,20
1/1/2024 2:30,1,Mesofilik,26.9,85.9,4.81,524,1,0,0.8,20
1/1/2024 2:35,1,Mesofilik,26.7,86.3,4.84,411,1,0,0.9,20
1/1/2024 2:40,1,Mesofilik,26.7,86,4.86,442,1,0,1,20
1/1/2024 2:45,1,Mesofilik,26.8,86,4.89,490,1,0,0.5,20
1/1/2024 2:50,1,Mesofilik,26.6,85.5,4.83,538,1,0,0.8,20
1/1/2024 2:55,1,Mesofilik,26.9,85.8,4.87,491,1,0,1.5,20
1/1/2024 3:00,1,Mesofilik,26.9,85.5,4.8,552,1,0,0.7,20
1/1/2024 3:05,1,Mesofilik,26.9,85.9,4.83,447,1,0,0.3,20
1/1/2024 3:10,1,Mesofilik,26.7,86,4.84,417,1,0,0.8,20
1/1/2024 3:15,1,Mesofilik,26.8,85.5,4.84,523,1,0,0.4,20
1/1/2024 3:20,1,Mesofilik,26.8,85.9,4.87,604,1,0,0.3,20
1/1/2024 3:25,1,Mesofilik,26.6,85.9,4.85,562,1,0,1.9,20
1/1/2024 3:30,1,Mesofilik,26.8,86.1,4.87,575,1,0,0.7,20
1/1/2024 3:35,1,Mesofilik,26.9,85.5,4.83,486,1,0,0.8,20
1/1/2024 3:40,1,Mesofilik,27.1,85.2,4.86,397,1,0,0.6,20
1/1/2024 3:45,1,Mesofilik,27,85.8,4.81,471,1,0,1,20
1/1/2024 3:50,1,Mesofilik,26.7,85.8,4.84,477,1,0,1.4,20
1/1/2024 3:55,1,Mesofilik,26.9,85.1,4.85,478,1,0,1,20
1/1/2024 4:00,1,Mesofilik,26.7,85.7,4.86,602,1,0,0.4,20
1/1/2024 4:05,1,Mesofilik,26.8,85.6,4.82,676,1,0,0.9,20
1/1/2024 4:10,1,Mesofilik,26.7,86,4.91,619,1,0,0.3,20
1/1/2024 4:15,1,Mesofilik,26.8,86.1,4.82,574,1,0,1,20
1/1/2024 4:20,1,Mesofilik,26.8,85.7,4.75,458,1,0,0.7,20
1/1/2024 4:25,1,Mesofilik,26.8,86.2,4.8,507,1,0,0.9,20
1/1/2024 4:30,1,Mesofilik,27.2,85.3,4.88,544,1,0,0.5,20
1/1/2024 4:35,1,Mesofilik,27.1,85.8,4.83,551,1,0,0.7,20
1/1/2024 4:40,1,Mesofilik,27.1,85.9,4.9,448,1,0,1.5,20
1/1/2024 4:45,1,Mesofilik,26.8,85.6,4.87,572,1,0,0.7,20
1/1/2024 4:50,1,Mesofilik,27.1,85.5,4.83,619,1,0,1,20
1/1/2024 4:55,1,Mesofilik,27,85.9,4.86,618,1,0,1,20
1/1/2024 5:00,1,Mesofilik,27.1,85.5,4.87,604,1,0,0.9,20
1/1/2024 5:05,1,Mesofilik,27.2,86,4.84,601,1,0,0.8,20
1/1/2024 5:10,1,Mesofilik,27.2,86,4.88,625,1,0,1.3,20
1/1/2024 5:15,1,Mesofilik,27.3,85.8,4.85,587,1,0,0.8,20
1/1/2024 5:20,1,Mesofilik,27.4,85.8,4.83,731,1,0,0.6,20
1/1/2024 5:25,1,Mesofilik,27.2,85.9,4.88,616,1,0,1.1,20
1/1/2024 5:30,1,Mesofilik,27.4,85.3,4.86,514,1,0,1.2,20
1/1/2024 5:35,1,Mesofilik,27.5,85.3,4.85,603,1,0,0.7,20
1/1/2024 5:40,1,Mesofilik,27.4,85.6,4.87,532,1,0,0.8,20
1/1/2024 5:45,1,Mesofilik,27.6,85.1,4.82,517,1,0,0.9,20
1/1/2024 5:50,1,Mesofilik,27.7,86,4.89,564,1,0,0.9,20
1/1/2024 5:55,1,Mesofilik,27.6,85.5,4.85,605,1,0,0.7,20
1/1/2024 6:00,1,Mesofilik,27.9,86,4.86,613,1,0,1.1,20
1/1/2024 6:05,1,Mesofilik,27.8,85.5,4.86,591,1,0,0.7,20
1/1/2024 6:10,1,Mesofilik,27.9,85.6,4.91,663,1,0,1.6,20
1/1/2024 6:15,1,Mesofilik,27.9,85.7,4.87,763,1,0,0.7,20
1/1/2024 6:20,1,Mesofilik,27.9,85.2,4.8,548,1,0,0.7,20
1/1/2024 6:25,1,Mesofilik,28.1,85.5,4.92,669,1,0,0.8,20
1/1/2024 6:30,1,Mesofilik,28,85.5,4.83,742,1,0,1.3,20
1/1/2024 6:35,1,Mesofilik,28.2,84.9,4.91,588,1,0,1.4,20
1/1/2024 6:40,1,Mesofilik,28.1,85.2,4.87,604,1,0,0.9,20
1/1/2024 6:45,1,Mesofilik,28.5,85,4.87,612,1,0,1.1,20
1/1/2024 6:50,1,Mesofilik,28.6,85,4.83,707,1,0,1.1,20
1/1/2024 6:55,1,Mesofilik,28.4,85.8,4.88,702,1,0,1,20
1/1/2024 7:00,1,Mesofilik,28.9,85.8,4.87,688,1,0,1.2,20
